step     0 | total loss: 11.297067 | lr: 1.0000e-04 | norm: 7.6313 | mlm loss: 10.582310 | nsp loss: 0.714757 | dt: 6.27ms | tok/sec: 1305.88 tokens/sec | remaining: 17h:25m
step     1 | total loss: 11.969777 | lr: 2.0000e-04 | norm: 12.8604 | mlm loss: 10.111596 | nsp loss: 1.858181 | dt: 0.42ms | tok/sec: 19375.71 tokens/sec | remaining: 1h:10m
step     2 | total loss: 11.287888 | lr: 3.0000e-04 | norm: 15.9643 | mlm loss: 9.876403 | nsp loss: 1.411485 | dt: 0.40ms | tok/sec: 20411.88 tokens/sec | remaining: 1h:6m
step     3 | total loss: 10.513990 | lr: 4.0000e-04 | norm: 8.4364 | mlm loss: 9.579137 | nsp loss: 0.934854 | dt: 0.40ms | tok/sec: 20296.59 tokens/sec | remaining: 1h:7m
step     4 | total loss: 10.130852 | lr: 5.0000e-04 | norm: 3.7137 | mlm loss: 9.412822 | nsp loss: 0.718030 | dt: 0.40ms | tok/sec: 20379.53 tokens/sec | remaining: 1h:6m
step     5 | total loss: 9.995294 | lr: 6.0000e-04 | norm: 5.4683 | mlm loss: 9.261548 | nsp loss: 0.733746 | dt: 0.40ms | tok/sec: 20360.98 tokens/sec | remaining: 1h:7m
step     6 | total loss: 9.878446 | lr: 7.0000e-04 | norm: 5.9116 | mlm loss: 9.077928 | nsp loss: 0.800518 | dt: 0.40ms | tok/sec: 20403.28 tokens/sec | remaining: 1h:6m
step     7 | total loss: 9.694498 | lr: 8.0000e-04 | norm: 2.4703 | mlm loss: 9.008804 | nsp loss: 0.685694 | dt: 0.40ms | tok/sec: 20260.06 tokens/sec | remaining: 1h:7m
step     8 | total loss: 9.447438 | lr: 9.0000e-04 | norm: 5.1654 | mlm loss: 8.683278 | nsp loss: 0.764160 | dt: 0.40ms | tok/sec: 20384.30 tokens/sec | remaining: 1h:6m
step     9 | total loss: 9.295758 | lr: 1.0000e-03 | norm: 4.1748 | mlm loss: 8.561423 | nsp loss: 0.734335 | dt: 0.40ms | tok/sec: 20368.12 tokens/sec | remaining: 1h:6m
step    10 | total loss: 9.360480 | lr: 1.1000e-03 | norm: 4.3554 | mlm loss: 8.706922 | nsp loss: 0.653558 | dt: 0.40ms | tok/sec: 20332.51 tokens/sec | remaining: 1h:7m
step    11 | total loss: 9.675604 | lr: 1.2000e-03 | norm: 7.0573 | mlm loss: 8.782986 | nsp loss: 0.892618 | dt: 0.40ms | tok/sec: 20275.20 tokens/sec | remaining: 1h:7m
step    12 | total loss: 9.691091 | lr: 1.3000e-03 | norm: 8.5694 | mlm loss: 8.780760 | nsp loss: 0.910330 | dt: 0.40ms | tok/sec: 20347.75 tokens/sec | remaining: 1h:7m
step    13 | total loss: 9.549525 | lr: 1.4000e-03 | norm: 2.8718 | mlm loss: 8.932326 | nsp loss: 0.617199 | dt: 0.40ms | tok/sec: 20330.08 tokens/sec | remaining: 1h:7m
step    14 | total loss: 9.870000 | lr: 1.5000e-03 | norm: 7.4583 | mlm loss: 8.930259 | nsp loss: 0.939741 | dt: 0.40ms | tok/sec: 20310.33 tokens/sec | remaining: 1h:7m
step    15 | total loss: 9.357264 | lr: 1.6000e-03 | norm: 4.8731 | mlm loss: 8.593512 | nsp loss: 0.763752 | dt: 0.40ms | tok/sec: 20328.85 tokens/sec | remaining: 1h:7m
step    16 | total loss: 9.616485 | lr: 1.7000e-03 | norm: 7.5894 | mlm loss: 8.708914 | nsp loss: 0.907570 | dt: 0.40ms | tok/sec: 20352.92 tokens/sec | remaining: 1h:6m
step    17 | total loss: 9.957115 | lr: 1.8000e-03 | norm: 10.0742 | mlm loss: 8.846447 | nsp loss: 1.110668 | dt: 0.40ms | tok/sec: 20317.52 tokens/sec | remaining: 1h:7m
step    18 | total loss: 9.474455 | lr: 1.9000e-03 | norm: 7.1498 | mlm loss: 8.630687 | nsp loss: 0.843768 | dt: 0.40ms | tok/sec: 20354.81 tokens/sec | remaining: 1h:6m
step    19 | total loss: 9.629012 | lr: 2.0000e-03 | norm: 6.4701 | mlm loss: 8.860893 | nsp loss: 0.768119 | dt: 0.40ms | tok/sec: 20318.31 tokens/sec | remaining: 1h:7m
step    20 | total loss: 9.578634 | lr: 2.1000e-03 | norm: 3.4941 | mlm loss: 8.873218 | nsp loss: 0.705417 | dt: 0.40ms | tok/sec: 20358.82 tokens/sec | remaining: 1h:6m
step    21 | total loss: 9.538150 | lr: 2.2000e-03 | norm: 6.5975 | mlm loss: 8.755791 | nsp loss: 0.782359 | dt: 0.40ms | tok/sec: 20335.73 tokens/sec | remaining: 1h:7m
step    22 | total loss: 9.411959 | lr: 2.3000e-03 | norm: 1.9848 | mlm loss: 8.727942 | nsp loss: 0.684017 | dt: 0.40ms | tok/sec: 20375.57 tokens/sec | remaining: 1h:6m
step    23 | total loss: 9.707132 | lr: 2.4000e-03 | norm: 10.2344 | mlm loss: 8.786306 | nsp loss: 0.920826 | dt: 0.40ms | tok/sec: 20313.02 tokens/sec | remaining: 1h:7m
step    24 | total loss: 9.663452 | lr: 2.5000e-03 | norm: 2.6514 | mlm loss: 8.983861 | nsp loss: 0.679592 | dt: 0.40ms | tok/sec: 20399.24 tokens/sec | remaining: 1h:6m
step    25 | total loss: 9.484699 | lr: 2.6000e-03 | norm: 1.2330 | mlm loss: 8.793828 | nsp loss: 0.690871 | dt: 0.40ms | tok/sec: 20252.25 tokens/sec | remaining: 1h:7m
step    26 | total loss: 9.757612 | lr: 2.7000e-03 | norm: 7.0453 | mlm loss: 8.972867 | nsp loss: 0.784745 | dt: 0.40ms | tok/sec: 20391.58 tokens/sec | remaining: 1h:6m
step    27 | total loss: 9.683526 | lr: 2.8000e-03 | norm: 4.2973 | mlm loss: 8.953530 | nsp loss: 0.729996 | dt: 0.40ms | tok/sec: 20323.82 tokens/sec | remaining: 1h:7m
step    28 | total loss: 9.745552 | lr: 2.9000e-03 | norm: 1.9707 | mlm loss: 9.064145 | nsp loss: 0.681407 | dt: 0.40ms | tok/sec: 20343.34 tokens/sec | remaining: 1h:6m
step    29 | total loss: 9.586273 | lr: 3.0000e-03 | norm: 4.7662 | mlm loss: 8.839630 | nsp loss: 0.746643 | dt: 0.40ms | tok/sec: 20344.92 tokens/sec | remaining: 1h:6m
step    30 | total loss: 9.439944 | lr: 3.1000e-03 | norm: 2.3711 | mlm loss: 8.738656 | nsp loss: 0.701288 | dt: 0.40ms | tok/sec: 20364.80 tokens/sec | remaining: 1h:6m
step    31 | total loss: 9.817854 | lr: 3.2000e-03 | norm: 9.7343 | mlm loss: 8.841848 | nsp loss: 0.976006 | dt: 0.40ms | tok/sec: 20369.45 tokens/sec | remaining: 1h:6m
step    32 | total loss: 10.096784 | lr: 3.3000e-03 | norm: 11.1561 | mlm loss: 9.066773 | nsp loss: 1.030011 | dt: 0.40ms | tok/sec: 20349.27 tokens/sec | remaining: 1h:6m
step    33 | total loss: 9.544268 | lr: 3.4000e-03 | norm: 4.5060 | mlm loss: 8.801120 | nsp loss: 0.743148 | dt: 0.40ms | tok/sec: 20322.30 tokens/sec | remaining: 1h:6m
step    34 | total loss: 9.662788 | lr: 3.5000e-03 | norm: 2.3560 | mlm loss: 8.983454 | nsp loss: 0.679335 | dt: 0.40ms | tok/sec: 20373.40 tokens/sec | remaining: 1h:6m
step    35 | total loss: 9.564855 | lr: 3.6000e-03 | norm: 3.0093 | mlm loss: 8.851197 | nsp loss: 0.713657 | dt: 0.40ms | tok/sec: 20388.24 tokens/sec | remaining: 1h:6m
step    36 | total loss: 9.601098 | lr: 3.7000e-03 | norm: 3.3375 | mlm loss: 8.888492 | nsp loss: 0.712606 | dt: 0.40ms | tok/sec: 20400.75 tokens/sec | remaining: 1h:6m
step    37 | total loss: 9.531827 | lr: 3.8000e-03 | norm: 2.7455 | mlm loss: 8.828873 | nsp loss: 0.702955 | dt: 0.40ms | tok/sec: 20369.51 tokens/sec | remaining: 1h:6m
step    38 | total loss: 9.479528 | lr: 3.9000e-03 | norm: 6.2942 | mlm loss: 8.670378 | nsp loss: 0.809151 | dt: 0.40ms | tok/sec: 20328.34 tokens/sec | remaining: 1h:6m
step    39 | total loss: 9.644713 | lr: 4.0000e-03 | norm: 8.6794 | mlm loss: 8.784533 | nsp loss: 0.860181 | dt: 0.40ms | tok/sec: 20369.17 tokens/sec | remaining: 1h:6m
step    40 | total loss: 9.394285 | lr: 4.1000e-03 | norm: 1.8264 | mlm loss: 8.734593 | nsp loss: 0.659691 | dt: 0.40ms | tok/sec: 20355.91 tokens/sec | remaining: 1h:6m
step    41 | total loss: 9.912801 | lr: 4.2000e-03 | norm: 8.1829 | mlm loss: 8.995705 | nsp loss: 0.917096 | dt: 0.40ms | tok/sec: 20333.61 tokens/sec | remaining: 1h:6m
step    42 | total loss: 10.028816 | lr: 4.3000e-03 | norm: 11.1501 | mlm loss: 8.892154 | nsp loss: 1.136662 | dt: 0.40ms | tok/sec: 20339.93 tokens/sec | remaining: 1h:6m
step    43 | total loss: 9.724523 | lr: 4.4000e-03 | norm: 4.4604 | mlm loss: 9.017756 | nsp loss: 0.706766 | dt: 0.40ms | tok/sec: 20352.39 tokens/sec | remaining: 1h:6m
